Year,Del Puerto,Turlock,Modesto,Merced,South Sutter,South San Jaoquin,Oakdale (Tier1),Oakdale (Tier2),Central California,Fresno,Tulare,Westlands
1990,1.6,3.5,3.5,,,5,5,5,,,0,1.3
1991,0.8,3,2.8,,,5,5,5,,,0.73,0.65
1992,0.8,3.666666667,2.8,,,5,5,5,,,0.3,0.65
1993,1.6,4,3.5,,,5,5,5,,,2.11,1.3
1994,1.34,3,3,,,5,5,5,,,0.55,0.91
1995,3.2,4,3.5,,,5,5,5,,,2.1,2.6
1996,3.04,4,4,,,5,5,5,,,2.37,2.47
1997,2.88,4,4,,,5,5,5,,,1.61,2.34
1998,3.2,4,3.5,,,5,5,5,,,2.22,2.6
1999,2.24,4,4.5,,,5,5,5,,,1.81,1.82
2000,2.08,4,4,,,5,5,5,,,1.83,1.69
2001,1.44,3.5,3.5,,,5,5,5,,,0.79,2.05
2002,2.24,3,3.5,,,5,5,5,,,0.94,1.82
2003,2.4,3.5,3.8,,,5,5,5,,,1.53,1.95
2004,2.24,4,3.5,,,5,5,5,,,0.68,1.82
2005,2.72,4,4,,2,5,5,5,,,2.49,2.21
2006,3.2,4,4,,2,5,5,5,,,2.37,2.6
2007,1.6,3,3.5,,2,5,5,5,,1.75,0.46,1.3
2008,1.28,3.5,3,,2,5,5,5,,2.5,0.86,1.04
2009,0.32,4.5,3,,2,5,5,5,,2.75,1.17,0.26
2010,1.44,4,4,,1.8,5,5,5,,4,2.45,1.17
2011,2.56,4,4.5,,1.5,5,5,5,,4,2.73,2.08
2012,1.28,3.333333333,3,5,1.5,5,5,5,5,1.5,0.57,1.04
2013,0.64,2.833333333,3,5,1.1,5,5,5,5,1.25,0.03,0.52
2014,0,1.666666667,2,1.1,1.1,5,5,5,3.5,1,0,0
2015,0,1.5,1.3,0,1,3.5,3.6,1.16,5,0.5,0,0
2016,0.16,3,3,4,2,5,5,5,4,3,0.82,0.13
2017,3.2,4,4,5,2,5,5,5,5,4.25,2.95,2.6
2018,1.6,4,4,5,1.8,5,5,5,5,2.75,0.97,1.3
2019,2.4,4,4,5,2,5,5,5,5,4.25,2.5,1.95
2020,0.64,3.5,3.5,5,1.2,5,5,5,5,1.5,0.4,0.52
2021,0,2.83,3,2.5,0.7,5,5,5,5,0.5,0.05,0
2022,0,2.25,2.5,2.25,0.9,5,5,5,5,1.5,0.19,0
2023,3.2,5,4,5,2,5,5,5,5,4,3.28,2.6