Irrigation District,Reservoir,Reservoir Code,SWE Station,SWE Station Code,SWE Region
Del Puerto,San Luis Reservoir,SNL,Sonora Pass,SRP,CS
Turlock,Don Pedro Reservoir,DNP,Sonora Pass,SRP,CS
Modesto,Don Pedro Reservoir,DNP,Sonora Pass,SRP,CS
Merced,Lake McClure (New Exchequer Dam),EXC,Snow Flat ,SNF,CS
South Sutter,Camp Far West Reservoir,CFW,BUCKS LAKE,BKL,NS
South San Jaoquin,New Melones Reservoir,NML,Spicer Meadows,SPI,CS
Oakdale (Tier1),New Melones Reservoir,NML,Spicer Meadows,SPI,CS
Oakdale (Tier2),New Melones Reservoir,NML,Spicer Meadows,SPI,CS
Central California,San Luis Reservoir,SNL,Sonora Pass,SRP,CS
Fresno,Pine Flat Reservoir,PNF,Huntington Lake,HTT,SS
Tulare,Lake Kaweah (Terminus Dam),TRM,Giant Forest,GFR,SS
Westlands,San Luis Reservoir,SNL,Sonora Pass,SRP,SS