Irrigation District,Reservoir,SWE Region
Del Puerto,"DWINNELL RESERVOIR, Trinity Lake, Folsom Lake, New Melones Reservoir, Millerton, San Luis Reservoir","NS, CS"
Turlock,Don Pedro Reservoir,CS
Modesto,"Don Pedro Reservoir, Modesto Reservoir",CS
Merced,"Lake McClure (New Exchequer Dam), McSwain Reservoir",CS
South Sutter,Camp Far West Reservoir,NS
South San Jaoquin,New Melones Reservoir,CS
Oakdale (Tier1),New Melones Reservoir,CS
Oakdale (Tier2),New Melones Reservoir,CS
Central California,"DWINNELL RESERVOIR, Trinity Lake, Folsom Lake, New Melones Reservoir, Millerton, San Luis Reservoir","NS, CS"
Fresno,"Pine Flat Dam, Millerton","CS, SS"
Tulare,"Terminus Dam, Millerton","CS, SS"
Westlands,"DWINNELL RESERVOIR, Trinity Lake, Folsom Lake, New Melones Reservoir, Millerton, San Luis Reservoir","NS, CS"